id	name	capacity	slots	lon	lat	district	address	address_note
30	Пункт проката велосипедов № 202	12	12	37.5842	55.7274	район Хамовники	Комсомольский проспект, дом 21, строение 1	На пересечении с 1-й Фрунзенской улицей
31	Пункт проката велосипедов № 207	10	10	37.578	55.7155	район Хамовники	Фрунзенская набережная, дом 54	На пересечении с улицей Хамовнический Вал
32	Пункт проката велосипедов № 152	8	8	37.6108	55.7304	район Якиманка	улица Крымский Вал, дом 6	Выход станции метро «Октябрьская»
33	Пункт проката велосипедов № 210	34	34	37.5695	55.7126	район Хамовники	Лужнецкая набережная, дом 2/4, строение 68	На пересечении с Новолужнецким проездом
34	Пункт проката велосипедов № 205	12	12	37.5759	55.722	район Хамовники	Комсомольский проспект, дом 37	На пересечении с 3-й Фрунзенской улицей
35	Пункт проката велосипедов № 39	22	22	37.6425	55.759	Басманный район	улица Покровка, дом 7/9-11	
36	Пункт проката велосипедов № 206	10	10	37.5835	55.7192	район Хамовники	Фрунзенская набережная, дом 44, строение 1	На пересечении с 3-й Фрунзенской улицей
37	Пункт проката велосипедов № 211	48	48	37.56	55.7116	район Хамовники	Лужнецкая набережная, дом 24, строение 20	Выход станции метро «Воробьёвы Горы»
38	Пункт проката велосипедов № 100	40	40	37.5933	55.7352	район Хамовники	Зубовский бульвар, дом 5, строение 3	Выход станции метро «Парк Культуры»
39	Пункт проката велосипедов № 209	12	12	37.5617	55.7218	район Хамовники	улица Хамовнический Вал, дом 36А	Выход станции метро «Спортивная»
40	Пункт проката велосипедов № 212	34	34	37.5474	55.727	район Хамовники	Лужнецкая набережная, дом 24, строение 33	
41	Пункт проката велосипедов № 359	18	18	37.5341	55.6946	район Раменки	Ломоносовский проспект, дом 66	
42	Пункт проката велосипедов № 132	12	12	37.652142	55.767033	Басманный район	Садовая-Черногрязская улица, дом 10/25	
43	Пункт проката велосипедов № 56	12	12	37.6108	55.7452	район Якиманка	Берсеневская набережная, дом 2, строение 1	
44	Пункт проката велосипедов № 301	12	12	37.5456	55.7008	район Раменки	Университетский проспект, дом 13	остановка Университетский проспект
45	Пункт проката велосипедов № 14	12	12	37.6364	55.7669	Красносельский район	Сретенский бульвар, дом 11	
46	Пункт проката велосипедов № 53	12	12	37.5418	55.7083	район Арбат	улица Новый Арбат, дом 21	
47	Пункт проката велосипедов № 75	12	12	37.6256	55.7408	район Замоскворечье	Климентовский переулок, дом 23, строение 1	Выход станции метро «Третьяковская»
48	Пункт проката велосипедов № 45	12	12	37.5996	55.768	Тверской район	Тверская улица, дом 24, строение 1	
49	Пункт проката велосипедов № 57	12	12	37.6154	55.744	район Якиманка	улица Серафимовича, дом 2	Напротив кинотеатра «Ударник»
50	Пункт проката велосипедов № 70	12	12	37.6202	55.7429	район Якиманка	Лаврушинский переулок, дом 4, строение 1	
51	Пункт проката велосипедов № 218	24	24	37.5807	55.7264	район Хамовники	Комсомольский проспект, дом 28	Выход станции метро «Фрунзенская»
52	Пункт проката велосипедов № 213	12	12	37.5596	55.7269	район Хамовники	Новодевичий проезд, дом 1	рядом с остановкой улица 10-летия Октября
53	Пункт проката велосипедов № 208	12	12	37.5652	55.7238	район Хамовники	Усачёва улица, дом 29, корпус 3	Выход станции метро «Спортивная»
54	Пункт проката велосипедов № 219	12	12	37.5704	55.7193	район Хамовники	улица Хамовнический Вал, дом 24	рядом с остановкой улица Хамовнический Вал
55	Пункт проката велосипедов № 214	12	12	37.5692	55.7311	район Хамовники	Большая Пироговская улица, дом 2, строение 4	рядом с МГМУ им. Семашко
56	Пункт проката велосипедов № 215	21	21	37.5754	55.7338	район Хамовники	Большая Пироговская улица, дом 15/18, строение 1	
57	Пункт проката велосипедов № 216	12	12	37.5813	55.7364	район Хамовники	Большая Пироговская улица, дом 5	
58	Пункт проката велосипедов № 26	12	12	37.6055	55.7464	район Хамовники	улица Волхонка, дом 14, строение 6	
59	Пункт проката велосипедов № 134	12	12	37.6552	55.765	Басманный район	Садовая-Черногрязская улица, дом 16/18, строение 1	
60	Пункт проката велосипедов № 217	12	12	37.577	55.7307	район Хамовники	Усачёва улица, дом 2, строение 1	
61	Пункт проката велосипедов № 142	12	12	37.6555	55.7522	Таганский район	улица Земляной Вал, дом 48Б	
62	Пункт проката велосипедов № 138	12	12	37.6569	55.7607	Басманный район	улица Земляной Вал, дом 14/16, строение 1	
63	Пункт проката велосипедов № 140	12	12	37.6573	55.7593	Басманный район	улица Земляной Вал, дом 24/30, строение 1	
64	Пункт проката велосипедов № 110	12	12	37.5846	55.7572	район Арбат	Новинский бульвар, дом 28/35, строение 1А	
65	Пункт проката велосипедов № 43	12	12	37.5931	55.7635	Пресненский район	Большой Патриарший переулок, дом 7, строение 1	Большой Патриарший переулок на пересечении с Малым Патриаршим переулком
66	Пункт проката велосипедов № 116	12	12	37.5941	55.7678	Пресненский район	Большая Садовая улица, дом 14, строение 1	рядом со входом в Сад Аквариум
67	Пункт проката велосипедов № 120	12	12	37.6141	55.7731	Тверской район	Садовая-Самотёчная улица, дом 8	
68	Пункт проката велосипедов № 136	12	12	37.6562	55.7633	Басманный район	улица Земляной Вал, дом 2	
69	Пункт проката велосипедов № 118	12	12	37.5991	55.7706	Тверской район	Садовая-Триумфальная улица, дом 4/10	
70	Пункт проката велосипедов № 225	12	12	37.5517	55.7516	Пресненский район	Краснопресненская набережная, дом 3	
71	Пункт проката велосипедов № 50	12	12	37.5998	55.7526	район Арбат	улица Новый Арбат, дом 1, строение 2	
72	Пункт проката велосипедов № 44	12	12	37.5964	55.7664	Пресненский район	Благовещенский переулок, дом 1	
73	Пункт проката велосипедов № 128	12	12	37.6431	55.7702	Красносельский район	Садовая-Спасская улица, дом 26	
74	Пункт проката велосипедов № 4	12	12	37.5998	55.7526	Пресненский район	Никитский бульвар, дом 8А/3, строение 1	
75	Пункт проката велосипедов № 54	12	12	37.5919	55.7475	район Арбат	переулок Сивцев Вражек, дом 26, строение 1	
76	Пункт проката велосипедов № 126	10	10	37.6328	55.7721	Красносельский район	улица Сретенка, дом 36	Выход станции метро «Сухаревская»
77	Пункт проката велосипедов № 104	12	12	37.5851	55.7421	район Хамовники	Смоленский бульвар, дом 22/14	
78	Пункт проката велосипедов № 52	12	12	37.5893	55.7522	район Арбат	улица Новый Арбат, дом 19	
79	Пункт проката велосипедов № 51	12	12	37.5964	55.7525	район Арбат	улица Новый Арбат, дом 11	
80	Пункт проката велосипедов № 106	24	24	37.583	55.7491	район Арбат	Смоленская площадь, дом 6	
81	Пункт проката велосипедов № 150	12	12	37.6296	55.7296	район Замоскворечье	Валовая улица, дом 20	
82	Пункт проката велосипедов № 154	20	20	37.6106	55.7299	район Якиманка	улица Крымский Вал, дом 3, строение 16	
83	Пункт проката велосипедов № 148	12	12	37.6388	55.7318	район Замоскворечье	улица Бахрушина, дом 31/12, строение 3	
84	Пункт проката велосипедов № 144	12	12	37.6554	55.7493	Таганский район	улица Земляной Вал, дом 52/16, строение 2	
85	Пункт проката велосипедов № 74	12	12	37.6203	55.7321	район Якиманка	улица Большая Полянка, дом 50/1, строение 1	
86	Пункт проката велосипедов № 24	12	12	37.6093	55.7459	район Хамовники	Пречистенская набережная, дом 45/1, строение 2А	
87	Пункт проката велосипедов № 220	12	12	37.5752	55.7611	Пресненский район	улица Красная Пресня, дом 1	
88	Пункт проката велосипедов № 59	12	12	37.6461	55.7408	Таганский район	Котельническая набережная, дом 33, строение 1	
89	Пункт проката велосипедов № 240	20	20	37.5757	55.746	район Арбат	Смоленская набережная, дом 2	
90	Пункт проката велосипедов № 242	12	12	37.5705	55.7393	район Хамовники	Саввинская набережная, дом 3	
91	Пункт проката велосипедов № 400	12	12	37.5963	55.7725	Тверской район	3-я Тверская-Ямская улица, дом 20, строение 1	
92	Пункт проката велосипедов № 232	12	12	37.5859	55.7731	Пресненский район	2-я Брестская улица, дом 31	
93	Пункт проката велосипедов № 403	12	12	37.5997	55.7742	Тверской район	улица Фадеева, дом 4	
94	Пункт проката велосипедов № 233	12	12	37.5879	55.7677	Пресненский район	улица Гашека, дом 2, строение 1	
95	Пункт проката велосипедов № 243	12	12	37.5682	55.7368	район Хамовники	Саввинская набережная, дом 9	
96	Пункт проката велосипедов № 222	12	12	37.559	55.7568	Пресненский район	Мантулинская улица, дом 2	
97	Пункт проката велосипедов № 235	12	12	37.5766	55.7609	Пресненский район	Большая Грузинская улица, дом 1, строение 2	
98	Пункт проката велосипедов № 401	12	12	37.59	55.7751	Тверской район	2-я Тверская-Ямская улица, дом 54	
99	Пункт проката велосипедов № 221	12	12	37.5635	55.7624	Пресненский район	улица Красная Пресня, дом 31	
100	Пункт проката велосипедов № 223	12	12	37.5513	55.756	Пресненский район	Мантулинская улица, дом 5, строение 21	
101	Пункт проката велосипедов № 224	12	12	37.5594	55.7541	Пресненский район	Краснопресненская набережная, дом 12А	
102	Пункт проката велосипедов № 344	12	12	37.5648	55.7067	Гагаринский район	улица Косыгина, дом 8, строение 2	
103	Пункт проката велосипедов № 239	12	12	37.5746	55.7517	район Арбат	Смоленская набережная, дом 12	
104	Пункт проката велосипедов № 238	12	12	37.5612	55.7637	Пресненский район	улица 1905 Года, дом 4, строение 2	
105	Пункт проката велосипедов № 360	18	18	37.5352	55.6931	Гагаринский район	площадь Джавахарлала Неру, дом 1	
106	Пункт проката велосипедов № 345	12	12	37.5773	55.7083	Гагаринский район	улица Косыгина, дом 2, строение 19	
107	Пункт проката велосипедов № 227	12	12	37.5517	55.7516	Пресненский район	Краснопресненская набережная, дом 16, строение 1	
108	Пункт проката велосипедов № 350	15	15	37.5624	55.6915	Академический район	улица Вавилова, дом 55/7	
109	Пункт проката велосипедов № 102	12	12	37.5855	55.7381	район Хамовники	Зубовская площадь, дом 3, строение 1	
110	Пункт проката велосипедов № 226	12	12	37.5461	55.7488	Пресненский район	Краснопресненская набережная, дом 14, строение 8	
111	Пункт проката велосипедов № 311	12	12	37.5608	55.6976	Гагаринский район	Ленинский проспект, дом 54	
112	Пункт проката велосипедов № 310	12	12	37.5508	55.6903	Гагаринский район	Ленинский проспект, дом 34/1	
113	Пункт проката велосипедов № 31	12	12	37.6165	55.7591	Тверской район	улица Большая Дмитровка, дом 2	
114	Пункт проката велосипедов № 362	15	15	37.562	55.6786	Академический район	Нахимовский проспект, дом 46	
115	Пункт проката велосипедов № 320	15	15	37.5466	55.6882	Гагаринский район	Ленинский проспект, дом 73/8	
116	Пункт проката велосипедов № 343	12	12	37.5552	55.7064	район Раменки	улица Косыгина, дом 18, строение 2	
117	Пункт проката велосипедов № 319	15	15	37.5508	55.6903	Гагаринский район	Ленинский проспект, дом 69	
118	Пункт проката велосипедов № 32	12	12	37.6158	55.7598	Тверской район	улица Большая Дмитровка, дом 5/6, строение 5	
119	Пункт проката велосипедов № 313	12	12	37.5501	55.6913	Гагаринский район	Ленинский проспект, дом 66	
120	Пункт проката велосипедов № 358	12	12	37.5284	55.6984	район Раменки	Ломоносовский проспект, дом 27	Ломоносовский проспект (дублер), пересечение с улицей Лебедева
121	Пункт проката велосипедов № 357	12	12	37.5237	55.6993	район Раменки	Ломоносовский проспект, дом 27	
122	Пункт проката велосипедов № 356	12	12	37.5226	55.7017	район Раменки	Ломоносовский проспект, дом 27, корпус 4	Ломоносовский проспект (дублер), пересечение с улицей Менделеевская
123	Пункт проката велосипедов № 349	12	12	37.5355	55.7062	район Раменки	территория Ленинские Горы, дом 1	Университетский проспект, напротив главного здания МГУ
124	Пункт проката велосипедов № 402	12	12	37.5867	55.7775	Тверской район	Лесная улица, дом 5	
125	Пункт проката велосипедов № 241	12	12	37.5727	55.7403	район Хамовники	7-й Ростовский переулок, дом 11	Выход с моста для пешеходов
126	Пункт проката велосипедов № 23	12	12	37.6327	55.7496	Таганский район	Москворецкая набережная, дом 9, строение 2	
127	Пункт проката велосипедов № 22	12	12	37.6388	55.7481	Таганский район	Москворецкая набережная, дом 2А, строение 1	
128	Пункт проката велосипедов № 234	12	12	37.5822	55.7702	Пресненский район	Большая Грузинская улица, дом 39	
129	Пункт проката велосипедов № 25	12	12	37.6084	55.7445	район Хамовники	улица Волхонка, дом 15, строение 3	Пречистенская набережная, у Патриаршего моста
130	Пункт проката велосипедов № 72	20	20	37.6125	55.7307	район Якиманка	улица Большая Якиманка, дом 18	улица Большая Якиманка, станция метро Октябрьская
131	Пункт проката велосипедов № 351	12	12	37.572	55.6883	Академический район	улица Дмитрия Ульянова, дом 20, корпус 1	
132	Пункт проката велосипедов № 378	12	12	37.5944	55.6367	район Чертаново Северное	Сумской проезд, дом 4, корпус 401	
133	Пункт проката велосипедов № 377	12	12	37.6047	55.6398	район Чертаново Северное	Чертановская улица, дом 7, строение 2	Выход станции метро «Чертановская»
134	Пункт проката велосипедов № 383	12	12	37.5425	55.6376	район Коньково	улица Миклухо-Маклая, дом 44	
135	Пункт проката велосипедов № 317	12	12	37.5877	55.712	Гагаринский район	Ленинский проспект, дом 33	
136	Пункт проката велосипедов № 40	12	12	37.6384	55.7527	Таганский район	улица Солянка, дом 8	
137	Пункт проката велосипедов № 382	12	12	37.5266	55.6419	район Коньково	Профсоюзная улица, дом 91	Выход станции метро «Беляево»
138	Пункт проката велосипедов № 244	12	12	37.5767	55.7402	район Хамовники	улица Плющиха, дом 39	
139	Пункт проката велосипедов № 315	12	12	37.6054	55.724	Гагаринский район	Ленинский проспект, дом 9	
140	Пункт проката велосипедов № 58	12	12	37.6549	55.7506	Басманный район	Серебряническая набережная, д.29	
141	Пункт проката велосипедов № 12	12	12	37.6225	55.7671	Тверской район	Цветной бульвар, дом 31	Трубная площадь, у выхода из метро
142	Пункт проката велосипедов № 405	12	12	37.592347	55.781335	Тверской район	улица Новолесная, дом 1/49	
143	Пункт проката велосипедов № 379	12	12	37.541	55.6423	район Коньково	улица Введенского, дом 13А	
144	Пункт проката велосипедов № 130	12	12	37.649155	55.768482	Басманный район	Садовая-Черногрязская, дом 2	метро «Красные ворота»
145	Пункт проката велосипедов № 312	12	12	37.5561	55.6949	Гагаринский район	Ленинский проспект, дом 60/2	
146	Пункт проката велосипедов № 77	10	10	37.6282	55.7378	район Замоскворечье	Пятницкая улица, дом 41	
147	Пункт проката велосипедов № 38	12	12	37.6361	55.7577	Басманный район	улица Маросейка, дом 11	
148	Пункт проката велосипедов № 355	12	12	37.5142	55.7052	район Раменки	Ломоносовский проспект, дом 29, корпус 3	
149	Пункт проката велосипедов № 352	24	24	37.5284	55.7031	район Раменки	улица Академика Хохлова, дом 1Н, корпус Г	
150	Пункт проката велосипедов № 441	12	12	37.63172	55.781495	Мещанский район	Проспект Мира, дом 41, строение 2	
151	Пункт проката велосипедов № 369	12	12	37.519698	55.671388	район Проспект Вернадского	улица Удальцова, дом 2	
152	Пункт проката велосипедов № 363	12	12	37.582721	55.671656	Академический район	Нахимовский проспект, дом 24	
153	Пункт проката велосипедов № 237	12	12	37.565552	55.769445	Пресненский район	улица Пресненский вал, дом 24	
154	Пункт проката велосипедов № 365	12	12	37.532632	55.678715	район Черёмушки	улица Гарибальди, дом 1А	
155	Пункт проката велосипедов № 364	12	12	37.519887	55.683724	Ломоносовский район	улица Марии Ульяновой, дом 16	
156	Пункт проката велосипедов № 300	12	12	37.507555	55.703026	район Проспект Вернадского	Мичуринский проспект, дом 12, корпус 1	
157	Пункт проката велосипедов № 370	12	12	37.53734	55.66462	Обручевский район	улица Воронцовские пруды, дом 3	
158	Пункт проката велосипедов № 316	12	12	37.600371	55.72112	Гагаринский район	Ленинский проспект, дом 15A	
159	Пункт проката велосипедов № 380	12	12	37.500151	55.653506	Обручевский район	улица Миклухо-Маклая, дом 6	
160	Пункт проката велосипедов № 340	12	12	37.608648	55.718027	Донской район	улица Шаболовка, дом 32	
161	Пункт проката велосипедов № 122	12	12	37.62121	55.77314	Тверской район	Цветной бульвар, дом 34, строение 1	
162	Пункт проката велосипедов № 442	12	12	37.63508	55.78689	Мещанский район	Проспект Мира, дом 69, строение 1	
163	Пункт проката велосипедов № 413	12	12	37.60455	55.78935	район Марьина Роща	улица Новосущевская, дом 22, строение 8	
164	Пункт проката велосипедов № 331	12	12	37.557307	55.673362	район Черёмушки	улица Профсоюзная, дом 46, корпус 1	
165	Пункт проката велосипедов № 303	12	12	37.50458	55.67654	район Проспект Вернадского	Проспект Вернадского, дом 14	
166	Пункт проката велосипедов № 330	12	12	37.570182	55.684347	Обручевский район	улица Профсоюзная, дом 7/12	
167	Пункт проката велосипедов № 302	12	12	37.5306	55.68977	район Проспект Вернадского	Проспект Вернадского, дом 11/19	
168	Пункт проката велосипедов № 334	12	12	37.52562	55.64201	район Коньково	улица Профсоюзная, дом 104	
169	Пункт проката велосипедов № 332	24	24	37.552943	55.66904	район Черёмушки	улица Профсоюзная, дом 58/32, корпус 2	
170	Пункт проката велосипедов № 112	12	12	37.58738	55.76328	Пресненский район	улица Садовая-Кудринская дом 11, строение 1	
171	Пункт проката велосипедов № 387	12	12	37.520416	55.63376	район Коньково	"станция метро ""Коньково"""	Выход станции метро «Коньково»
172	Пункт проката велосипедов № 431	12	12	37.62249	55.786079	Мещанский район	Олимпийский проспект, дом 22	
173	Пункт проката велосипедов № 228	12	12	37.545641	55.75749	Пресненский район	Шмитовский проезд, дом 16, строение 2	
174	Пункт проката велосипедов № 314	12	12	37.529599	55.678088	Гагаринский район	Ленинский проспект, дом 86	
175	Пункт проката велосипедов № 73	12	12	37.61947	55.73623	район Якиманка	улица Большая Полянка, дом 33/41, строение 1	
176	Пункт проката велосипедов № 346	12	12	37.58531	55.70674	Гагаринский район	"станция метро ""Ленинский проспект"" , южный вестибюль"	Выход станции метро «Ленинский проспект»
177	Пункт проката велосипедов № 432	12	12	37.629087	55.788602	Мещанский район	улица Щепкина, дом 61/2 строение 22	
178	Пункт проката велосипедов № 76	14	14	37.628651	55.741485	район Замоскворечье	улица Пятницкая, дом 25, строение 1Д	
179	Пункт проката велосипедов № 321	12	12	37.54062	55.68396	Гагаринский район	Ленинский проспект, дом 79	
180	Пункт проката велосипедов № 229	12	12	37.552939	55.764236	Пресненский район	Звенигородское шоссе, дом 7	
181	Пункт проката велосипедов № 47	12	12	37.605453	55.769588	Тверской район	улица Малая Дмитровка, дом 15	
182	Пункт проката велосипедов № 36	12	12	37.628345	55.763252	Мещанский район	Варсонофьевский переулок, дом 12	
183	Пункт проката велосипедов № 460	12	12	37.650009	55.769321	Красносельский район	улица Садовая-Спасская, дом 21/1	
184	Пункт проката велосипедов № 430	12	12	37.622634	55.779102	Мещанский район	Олимпийский проспект, дом 14	
185	Пункт проката велосипедов № 440	12	12	37.633319	55.779945	Мещанский район	Проспект мира, дом 40	
186	Пункт проката велосипедов № 354	12	12	37.507289	55.710413	район Раменки	Ломоносовский проспект, дом 43/40	
187	Пункт проката велосипедов № 124	12	12	37.621562	55.774063	Мещанский район	улица Садовая-Сухаревская, дом 5	
188	Пункт проката велосипедов № 146	12	12	37.647831	55.737643	Таганский район	Гончарная набережная, дом 3, строение 3	
189	Пункт проката велосипедов № 361	12	12	37.552045	55.684712	Гагаринский район	Ломоносовкий проспект, дом 2/62, строение 8	
190	Пункт проката велосипедов № 462	12	12	37.65459	55.772518	Красносельский район	Рязанский проезд, Комсомольская площадь, дом 2	
191	Пункт проката велосипедов № 374	12	12	37.552978	55.651252	Обручевский район	улица Обручева, дом 33 А	
192	Пункт проката велосипедов № 420	12	12	37.616504	55.785259	Мещанский район	улица Советской Армии, дом 2, строение 1	
193	Пункт проката велосипедов № 372	12	12	37.570446	55.656726	район Черёмушки	улица Каховка, дом 29 А	
194	Пункт проката велосипедов № 367	12	12	37.576526	55.661945	район Черёмушки	Севастопольский проспект, дом 28, корпус 4	
195	Пункт проката велосипедов № 333	12	12	37.539688	55.656261	район Черёмушки	улица Профсоюзная, дом 61 А	
196	Пункт проката велосипедов № 375	12	12	37.564201	55.650211	район Черёмушки	улица Обручева, дом 65/54	
197	Пункт проката велосипедов № 108	12	12	37.583633	55.756668	Пресненский район	Новинский бульвар, дом 25-27 строение 7	
198	Пункт проката велосипедов № 236	12	12	37.572071	55.765613	Пресненский район	улица Малая Грузинская, дом 19/2	
199	Пункт проката велосипедов № 411	12	12	37.613739	55.78141	Тверской район	улица Селезневская, дом 29, строение 1	
200	Пункт проката велосипедов № 386	12	12	37.519916	55.634468	район Коньково	улица Островитянова, дом 29/120	
201	Пункт проката велосипедов № 414	12	12	37.609931	55.789173	район Марьина Роща	улица Образцова, дм 19 А	
202	Пункт проката велосипедов № 421	12	12	37.616722	55.787712	Мещанский район	улица Советской Армии, дом 9	
203	Пункт проката велосипедов № 422	12	12	37.616046	55.792575	Мещанский район	улица Советской Армии, дом 17/52	
204	Пункт проката велосипедов № 371	12	12	37.559341	55.660896	район Черёмушки	улица Новочеремушкинская, дом 71/32	
205	Пункт проката велосипедов № 78	12	12	37.627651	55.735363	район Замоскворечье	улица Пятницкая, дом 48, строение 1	
206	Пункт проката велосипедов № 156	20	20	37.606376	55.731918	район Якиманка	улица Крымский Вал, дом 8, корпус 2	
207	Пункт проката велосипедов № 461	12	12	37.646671	55.771965	Красносельский район	Орликов переулок, дом 3, строение 7	
208	Пункт проката велосипедов № 415	12	12	37.590904	55.791374	Тверской район	улица Сущевский Вал, дом 2	
209	Пункт проката велосипедов № 347	12	12	37.589305	55.691394	Академический район	улица Шверника, дом 13, корпус 1	
210	Пункт проката велосипедов № 384	12	12	37.530773	55.634258	район Коньково	улица Введенского, дом 32	
211	Пункт проката велосипедов № 353	12	12	37.608993	55.671798	Нагорный район	улица Криворожская, дом 33 Г	
212	Пункт проката велосипедов № 470	12	12	37.6236	55.821685	Останкинский район	улица Академика Королева, дом 8 А	
213	Пункт проката велосипедов № 444	12	12	37.638457	55.819404	Останкинский район	Проспект Мира, дом 111 А	
214	Пункт проката велосипедов № 417	12	12	37.617156	55.793457	район Марьина Роща	улица Шереметьевская, дом 2	
215	Пункт проката велосипедов № 385	12	12	37.495132	55.643985	район Коньково	улица Островитянова, дом 7	
216	Пункт проката велосипедов № 471	12	12	37.610488	55.821743	Останкинский район	улица Академика Королева, дом 12 Б	
217	Пункт проката велосипедов № 472	12	12	37.630187	55.815486	Останкинский район	Звездный бульвар, дом 18/1	
218	Пункт проката велосипедов № 318	12	12	37.57299	55.70325	Гагаринский район	Ленинский проспект, дом 45	
219	Пункт проката велосипедов № 446	12	12	37.654231	55.834408	район Ростокино	Проспект Мира, дом 163	
220	Пункт проката велосипедов № 450	12	12	37.637439	55.833338	район Ростокино	улица Сергея Эйзенштейна, дом 8	
221	Пункт проката велосипедов № 373	12	12	37.596253	55.652451	район Зюзино	улица Азовская, дом 24, корпус 2	Выход станции метро «Каховская»
222	Пункт проката велосипедов № 480	12	12	37.580688	55.820725	Бутырский район	улица Яблочково, дом 18	
223	Пункт проката велосипедов № 481	12	12	37.580408	55.827897	Бутырский район	улица Милашенкова, дом 12	
224	Пункт проката велосипедов № 482	12	12	37.594597	55.813304	Бутырский район	улица Руставели, дом 13/12, корпус 1	
225	Пункт проката велосипедов № 467	12	12	37.635295	55.826453	Останкинский район	Проспект Мира,дом 119, строение 288	территория ВДНХ
226	Пункт проката велосипедов № 468	12	12	37.617568	55.830492	Останкинский район	Проспект Мира, дом 119, строение 503	территория ВДНХ
227	Пункт проката велосипедов № 114	12	12	37.590813	55.766245	Пресненский район	улица Большая Садовая, дом 1	
228	Пункт проката велосипедов № 410	12	12	37.608918	55.778385	Тверской район	2-й Щемиловский переулок, дом 14/29	
229	Пункт проката велосипедов № 464	21	21	37.601039	55.830195	район Марфино	улица Ботаническая, дом 4, строение 3	
230	Пункт проката велосипедов № 469	12	12	37.617668	55.837524	Останкинский район	Проспект Мира, дом 119, строение 353	территория ВДНХ
231	Пункт проката велосипедов № 341	12	12	37.594389	55.709908	Донской район	улица Орджоникидзе, дом 11, строение 1/2	
232	Пункт проката велосипедов № 231	12	12	37.583	55.7771	Тверской район	площадь Тверская Застава, дом 7	
233	Пункт проката велосипедов № 466	36	36	37.639128	55.825361	Останкинский район	Продольный проезд	
234	Пункт проката велосипедов № 81	12	12	37.633294	55.739877	район Замоскворечье	Озерковский переулок, дом 13	
